id,name,entity_description,picturedescription,location_name,polygon_center_point
681,Davidović Dimitrije (1789-1838),"Dimitrije Davidović was a journalist, publisher and writer in Vienna from 1812 to 1821. After his return to Serbia he was the secretary of Prince Miloš Obrenović, Minister of Education and diplomat. In 1835 he was the creator of the first Serbian constitution. He was also publisher and editor of the “Novine Srbske” in Serbia 1834-1835.
Davidović’s father, Gavrilo Georgijević was a priest in the Orthodox chapel of St.George in Vienna. Davidović took his last name after his grandfather, David Georgijević, who was a teacher and priest in Zemun and Sremski Karlovci.  Davidović came to Vienna together with Frušić in autmn 1812. They were both students of medicine. Supported by Jernej Kopitar, the imperial censor for Slavic languages, they started to publish the Serbian newspaper “Novine serbske” in 1813. Davidović and Frušić were the owners, editors and publishers of this newspaper, which was published until February 1822. During the Viennese Congress in 1814 they helped to the Serbian ex Minister Matija Nenadović a lot in order to inform the great Powers on the Serbian question.  From 1818 to 1822 Davidović had his own printing shop at Fleischmarkt 746. On 1 October 1818 he got a privilege for printing books in Oriental languages.  He left Vienna in autumn 1821 and the editor’s position to his co-worker, Petar Matić, a law student from Zemun. He married Jelisaveta-Savka Diamandi on 30 May 1817 in Pest. They lived in the house Innere Stadt 699. Jelisaveta died during childbirth on 23 May 1818 in this house at the age of 35. She was buried in the Orthodox part of St. Marx cemetery two days later, on 25 May 1818.  Their son was named Svetozar (he died in Vienna in the 1850s). Davidović married one year later his second wife, Jelena, on 26 January 1819. They had the sons Milan, Jovan (born in Vienna 1820) and a daughter Savka (born in Serbia about 1828 and died 1841).  Davidović published in Vienna his two books “Sobranie nauka svakomu čoveku nuždni” (1814) and “Dejanija k istoriji Srbskoga naroda” (1821). 

","Author. Uroš Knežević, 1834.

https://sr.wikipedia.org/wiki/%D0%94%D0%B8%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D1%98%D0%B5_%D0%94%D0%B0%D0%B2%D0%B8%D0%B4%D0%BE%D0%B2%D0%B8%D1%9B#/media/File:Dimitrije_Davidovi%C4%87.jpg",Location of Dimitrije Davidović apartment,16.379483342170712 48.211193938186163
1072,Sečujac von Heldenfeld Arsenije (1720-1814),"Arsenije Sečujac ( 1720-1814) Baron von Heldenfeld, General Major, Knight of the Maria Theresia Order and Hofrat in the Illyrian Court Office (k.k.Illyrische Hoffkanzlei) was born in a military family on the Military Frontier. His father, Captain Djordje Sečujac, was awarded for his credits in the Army with a noble title on 7 July 1759 with the predicate “von Heldenfeld”.  Arsenije Sečujac started his military career in 1741. On 30 April 1762 he received the Knight cross of the Maria Theresia Order and in 1767 he was raised into the noble rank of Baron. In 1783 he was promoted to the rank of General Major, and in the same year he retired and moved to Vienna. Sečujac was named Hofrath in the Illyrian Court Office, where he worked until his death. According to Dositej Obradović Sečujac helped the Serbs in Vienna a lot, and his doors were always open for every Serb that came to Vienna. He died on 13 January 1814 in his appartment Wollzeile 914 (Wollzeile 14) at the age of 94 and was buried on the Orthodox part of St. Marx cemetery in Vienna.  ",https://en.wikipedia.org/wiki/Arsenije_Se%C4%8Dujac#/media/File:Arsen_Se%C4%8Dujac_Heldenfeldski.jpg,Location of Apartment of General Major and Baron Arsenije Sečujac von Heldenfeld,16.375920027494431 48.208404820889868
395,Obrenović Miloš  (1829-1861),,https://sr.wikipedia.org/wiki/%D0%94%D0%B0%D1%82%D0%BE%D1%82%D0%B5%D0%BA%D0%B0:Milos_Jevremov_Obrenovic.jpg,"Location of Stiftskaserne, former K. und K.  Ingeneurakademie",16.356080733239651 48.201777555656015
179,Obrenović Mihailo Prince (1823-1868),"Prince Mihailo Obrenović was born on 16 September 1823 in Kragujevac. He was Prince of Serbia from 1838 to 1842, and after his exile from 1860 to assassination on 10 June 1868 in Belgrade. His second rule was characterized by the liberation of Serbian cities from Ottoman garrisons, which was a great diplomatic effort. It was also his idea to create a Balkan Federation against the Ottoman Empire. Mihailo Obrenović was an enlightened ruler who travelled through Europe during his period of exile (1844-1850). He wanted to incorporate many of western European achievements in Serbian society. He died childless in 1868.  He was succeeded by his cousin, Milan Obrenović, whose grandfather was Jevrem Obrenović, a brother of Prince Miloš and Prince Mihailo´s uncle.  
Prince Mihailo lived in Vienna with some interruptions between 1843 and 1860.  He was the friend and supporter of all Serbian poets and writers in Vienna, starting with Vuk Karadžić (on whose recommendation the Prince traveled through the German states and met Leopold von Ranke and Jacob Grimm), then Anastas Jovanović, Djura Daničić, Branko Radičević, etc.  In July 1853 Djura Daničić returned to Vienna on the Prince´s invitation to be a Serbian language teacher for the Princess Julie.He stayed there until 1856. 
Prince Mihailo was also best man and godfather of the General Major Djordje Stratimirović family in Vienna.  On 10 May 1854 Prince was best man at the Stratimirović’s wedding in the Church of Holly Trinity, and then he and later Prince/King Milan were godfathers of the Stratimirović children.  There are also several compositions of a famous Austrian composers which are dedicated to Prince Mihailo: Johann Strauss Son op. 14 “Serben Quadrille” from 1846 ; Phillip Fahrbach Senior op. 151 “Serben Polka” from 1853  and Johann Dubez Op. 17 “Divertissement sur des motifs de l'Opéra: Ernani pour la Zither”. He married Countess Julie Hunyadi in Vienna on August 1853. His best man was the Russian diplomat Mayendorf. Austrian newspapers wrote that the Prince was dressed in national costume and had a saber with diamonds worth 80,000 florins. On the other side the Princess wore a diamond diadem. They lived in thhe “Obrenovic Palais” in Vienna and “Ivanka” castle near Bratislava. They separated by a signed agreement on 18 November 1865. The house in Vienna (estimated on 100,000 ducats) and also “Ivanka” became a property of the Princess as well as a yearly amount of 5,500 ducats.  
",https://en.wikipedia.org/wiki/File:Knez_Mihajlo_III_Obrenovic.jpg,Location of Fetzer guesthouse,16.380725791677801 48.212544404266303
179,Obrenović Mihailo Prince (1823-1868),"Prince Mihailo Obrenović was born on 16 September 1823 in Kragujevac. He was Prince of Serbia from 1838 to 1842, and after his exile from 1860 to assassination on 10 June 1868 in Belgrade. His second rule was characterized by the liberation of Serbian cities from Ottoman garrisons, which was a great diplomatic effort. It was also his idea to create a Balkan Federation against the Ottoman Empire. Mihailo Obrenović was an enlightened ruler who travelled through Europe during his period of exile (1844-1850). He wanted to incorporate many of western European achievements in Serbian society. He died childless in 1868.  He was succeeded by his cousin, Milan Obrenović, whose grandfather was Jevrem Obrenović, a brother of Prince Miloš and Prince Mihailo´s uncle.  
Prince Mihailo lived in Vienna with some interruptions between 1843 and 1860.  He was the friend and supporter of all Serbian poets and writers in Vienna, starting with Vuk Karadžić (on whose recommendation the Prince traveled through the German states and met Leopold von Ranke and Jacob Grimm), then Anastas Jovanović, Djura Daničić, Branko Radičević, etc.  In July 1853 Djura Daničić returned to Vienna on the Prince´s invitation to be a Serbian language teacher for the Princess Julie.He stayed there until 1856. 
Prince Mihailo was also best man and godfather of the General Major Djordje Stratimirović family in Vienna.  On 10 May 1854 Prince was best man at the Stratimirović’s wedding in the Church of Holly Trinity, and then he and later Prince/King Milan were godfathers of the Stratimirović children.  There are also several compositions of a famous Austrian composers which are dedicated to Prince Mihailo: Johann Strauss Son op. 14 “Serben Quadrille” from 1846 ; Phillip Fahrbach Senior op. 151 “Serben Polka” from 1853  and Johann Dubez Op. 17 “Divertissement sur des motifs de l'Opéra: Ernani pour la Zither”. He married Countess Julie Hunyadi in Vienna on August 1853. His best man was the Russian diplomat Mayendorf. Austrian newspapers wrote that the Prince was dressed in national costume and had a saber with diamonds worth 80,000 florins. On the other side the Princess wore a diamond diadem. They lived in thhe “Obrenovic Palais” in Vienna and “Ivanka” castle near Bratislava. They separated by a signed agreement on 18 November 1865. The house in Vienna (estimated on 100,000 ducats) and also “Ivanka” became a property of the Princess as well as a yearly amount of 5,500 ducats.  
",https://en.wikipedia.org/wiki/File:Knez_Mihajlo_III_Obrenovic.jpg,Location of Theater in der Josefstadt Sträußelsäle,16.351006915792823 48.209734626217241
179,Obrenović Mihailo Prince (1823-1868),"Prince Mihailo Obrenović was born on 16 September 1823 in Kragujevac. He was Prince of Serbia from 1838 to 1842, and after his exile from 1860 to assassination on 10 June 1868 in Belgrade. His second rule was characterized by the liberation of Serbian cities from Ottoman garrisons, which was a great diplomatic effort. It was also his idea to create a Balkan Federation against the Ottoman Empire. Mihailo Obrenović was an enlightened ruler who travelled through Europe during his period of exile (1844-1850). He wanted to incorporate many of western European achievements in Serbian society. He died childless in 1868.  He was succeeded by his cousin, Milan Obrenović, whose grandfather was Jevrem Obrenović, a brother of Prince Miloš and Prince Mihailo´s uncle.  
Prince Mihailo lived in Vienna with some interruptions between 1843 and 1860.  He was the friend and supporter of all Serbian poets and writers in Vienna, starting with Vuk Karadžić (on whose recommendation the Prince traveled through the German states and met Leopold von Ranke and Jacob Grimm), then Anastas Jovanović, Djura Daničić, Branko Radičević, etc.  In July 1853 Djura Daničić returned to Vienna on the Prince´s invitation to be a Serbian language teacher for the Princess Julie.He stayed there until 1856. 
Prince Mihailo was also best man and godfather of the General Major Djordje Stratimirović family in Vienna.  On 10 May 1854 Prince was best man at the Stratimirović’s wedding in the Church of Holly Trinity, and then he and later Prince/King Milan were godfathers of the Stratimirović children.  There are also several compositions of a famous Austrian composers which are dedicated to Prince Mihailo: Johann Strauss Son op. 14 “Serben Quadrille” from 1846 ; Phillip Fahrbach Senior op. 151 “Serben Polka” from 1853  and Johann Dubez Op. 17 “Divertissement sur des motifs de l'Opéra: Ernani pour la Zither”. He married Countess Julie Hunyadi in Vienna on August 1853. His best man was the Russian diplomat Mayendorf. Austrian newspapers wrote that the Prince was dressed in national costume and had a saber with diamonds worth 80,000 florins. On the other side the Princess wore a diamond diadem. They lived in thhe “Obrenovic Palais” in Vienna and “Ivanka” castle near Bratislava. They separated by a signed agreement on 18 November 1865. The house in Vienna (estimated on 100,000 ducats) and also “Ivanka” became a property of the Princess as well as a yearly amount of 5,500 ducats.  
",https://en.wikipedia.org/wiki/File:Knez_Mihajlo_III_Obrenovic.jpg,Location of Obrenović-Palais,16.381144216284156 48.199169768304792
179,Obrenović Mihailo Prince (1823-1868),"Prince Mihailo Obrenović was born on 16 September 1823 in Kragujevac. He was Prince of Serbia from 1838 to 1842, and after his exile from 1860 to assassination on 10 June 1868 in Belgrade. His second rule was characterized by the liberation of Serbian cities from Ottoman garrisons, which was a great diplomatic effort. It was also his idea to create a Balkan Federation against the Ottoman Empire. Mihailo Obrenović was an enlightened ruler who travelled through Europe during his period of exile (1844-1850). He wanted to incorporate many of western European achievements in Serbian society. He died childless in 1868.  He was succeeded by his cousin, Milan Obrenović, whose grandfather was Jevrem Obrenović, a brother of Prince Miloš and Prince Mihailo´s uncle.  
Prince Mihailo lived in Vienna with some interruptions between 1843 and 1860.  He was the friend and supporter of all Serbian poets and writers in Vienna, starting with Vuk Karadžić (on whose recommendation the Prince traveled through the German states and met Leopold von Ranke and Jacob Grimm), then Anastas Jovanović, Djura Daničić, Branko Radičević, etc.  In July 1853 Djura Daničić returned to Vienna on the Prince´s invitation to be a Serbian language teacher for the Princess Julie.He stayed there until 1856. 
Prince Mihailo was also best man and godfather of the General Major Djordje Stratimirović family in Vienna.  On 10 May 1854 Prince was best man at the Stratimirović’s wedding in the Church of Holly Trinity, and then he and later Prince/King Milan were godfathers of the Stratimirović children.  There are also several compositions of a famous Austrian composers which are dedicated to Prince Mihailo: Johann Strauss Son op. 14 “Serben Quadrille” from 1846 ; Phillip Fahrbach Senior op. 151 “Serben Polka” from 1853  and Johann Dubez Op. 17 “Divertissement sur des motifs de l'Opéra: Ernani pour la Zither”. He married Countess Julie Hunyadi in Vienna on August 1853. His best man was the Russian diplomat Mayendorf. Austrian newspapers wrote that the Prince was dressed in national costume and had a saber with diamonds worth 80,000 florins. On the other side the Princess wore a diamond diadem. They lived in thhe “Obrenovic Palais” in Vienna and “Ivanka” castle near Bratislava. They separated by a signed agreement on 18 November 1865. The house in Vienna (estimated on 100,000 ducats) and also “Ivanka” became a property of the Princess as well as a yearly amount of 5,500 ducats.  
",https://en.wikipedia.org/wiki/File:Knez_Mihajlo_III_Obrenovic.jpg,"Location of Graziensälen, „Zur goldenen Birne“",16.389400055631995 48.203960870691134
399,Nikolić de Rudna Jelisaveta-Savka  (1814–1848),"Jelisaveta-Savka Nikolić (born Obrenović) (1814-1848) was the daughter of the Serbian Prince Miloš Obrenović. She married Jovan Nikolić de Rudna on 16 October 1831. Jelisaveta-Savka died on 23 September 1848 and was buried on 30 September in tomb no. 4 in the first row at the Orthodox part of the St. Marx cemetery. She died in the house Leopoldstadt No.579 (today Praterstraße 8). On the same cemetery were buried her two sons: the first died after the birth on 14 January 1847 and the Mladen, second in 1849.Then they were transferred on 4 August 1881 to Vöslau and after that to the landed property of Rudna (now days Romania). ","Miklós Barabás: Savka Obrenović
Residence of Princess Ljubica
Belgrade

""This Biedermeier portrait, painted in Vienna, shows Jelisaveta Savka Obrenović, the third child and the youngest daughter of Prince Miloš and Princess Ljubica. She is depicted in a silk dress and a libade trimmed with fur, also known as škurteljka. This is the only traditional element in her dress. The medallion with a portrait of prince Miloš supported by her hand alludes to her ancestors. According to tradition, Prince Miloš was particularly closely related to Savka, who was his favourite child. At the age of seventeen she got married to Baron Jovan Nikolić of Rudna, with whom she had five sons.""
https://izi.travel/en/286d-miklos-barabas-savka-obrenovic/en",Location of Tomb of Nikolić de Rudna family on St. Marx Cemetery,16.401309063658118 48.181284988099939
399,Nikolić de Rudna Jelisaveta-Savka  (1814–1848),"Jelisaveta-Savka Nikolić (born Obrenović) (1814-1848) was the daughter of the Serbian Prince Miloš Obrenović. She married Jovan Nikolić de Rudna on 16 October 1831. Jelisaveta-Savka died on 23 September 1848 and was buried on 30 September in tomb no. 4 in the first row at the Orthodox part of the St. Marx cemetery. She died in the house Leopoldstadt No.579 (today Praterstraße 8). On the same cemetery were buried her two sons: the first died after the birth on 14 January 1847 and the Mladen, second in 1849.Then they were transferred on 4 August 1881 to Vöslau and after that to the landed property of Rudna (now days Romania). ","Miklós Barabás: Savka Obrenović
Residence of Princess Ljubica
Belgrade

""This Biedermeier portrait, painted in Vienna, shows Jelisaveta Savka Obrenović, the third child and the youngest daughter of Prince Miloš and Princess Ljubica. She is depicted in a silk dress and a libade trimmed with fur, also known as škurteljka. This is the only traditional element in her dress. The medallion with a portrait of prince Miloš supported by her hand alludes to her ancestors. According to tradition, Prince Miloš was particularly closely related to Savka, who was his favourite child. At the age of seventeen she got married to Baron Jovan Nikolić of Rudna, with whom she had five sons.""
https://izi.travel/en/286d-miklos-barabas-savka-obrenovic/en",Location of Fetzer guesthouse,16.380725791677801 48.212544404266303
252,Duka de Kadar Peter (1756-1822),"Petar Duka de Kadar was a General of the Artillery (Feldzeugsmeister, FZM), commanding General in Banat, Baron, k.k.Geheimer Rat and Knight of the Maria Theresia Order. He was born in Osijek (Slavonia Military Frontier, today Croatia) in a merchant family of Serbian origin in 1756. Duka began a very long military career in the 1776.After the Battle of Famars (1793) he became Knight of the Maria Theresia Order. In 1800 Duka was nominated General Major and commander of the fortress in Timisoara, and in 1813 General of the Artillery (Feldzeugsmeister, FZM). In 1815 Duka became a Geheimer Rat of the Emperor Franz I. Since 1803 the Infantry Regiment 39 carried his name. Beside the Large cross of the Leopold Order he was holder of many Russian, Prussian, Bavarian, French and Sicilian decorations. He received Hungarian nobility with rank of Baron and became the owner of the landed property Kadar in Banat (today Romania). Therefore his noble predict was “de Kadar” or “von Kadar”. From 1815 he was a member of the State Council (Staatsrath) and because of that he settled in Vienna. Duka died on 29 December 1822 in the house in Renngasse 10. He was buried on the Orthodox part in St. Marx cemetery and in 1907 his remains were exhumed and buried in Kadar. ","Lithographie from Josef Lanzedelly,1820 

https://de.wikipedia.org/wiki/Datei:Peter_von_Duka_Litho.jpg",Location of Apartment of Baron Petar Duka de Kadar,16.367111653089498 48.212472977589499
1166,Petrović Njegoš Petar II (1813-1851) ,,https://sr.wikipedia.org/wiki/%D0%9F%D0%B5%D1%82%D0%B0%D1%80_II_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%9B_%D0%8A%D0%B5%D0%B3%D0%BE%D1%88#/media/File:Petar_II_Petrovic-Njegos.jpg,Location of Sofiensäle,16.391089847311378 48.206871067836111
1154,Rajić Jovan (1726-1801)   ,,"A litography of Jovan Rajić from 1852 by Anastas Jovanović.

https://commons.wikimedia.org/wiki/File:Jovan_Rajic.jpg",Location of Stefan Novaković printing house,16.372058987617493 48.211926762316629
1132,Mandrović Konstantin Kosta (1840-1920) ,,Grave stone of Konstantin and Betty Mandrović on Central cemetery in Vienna.,Location of Editorial office of “Srpska zora“,16.352002412168101 48.204361367794597
1132,Mandrović Konstantin Kosta (1840-1920) ,,Grave stone of Konstantin and Betty Mandrović on Central cemetery in Vienna.,Location of Editorial office of “Srpska zora“,16.352002412168101 48.204361367794597
1066,Teodorović Djordje (1830-1889),"Djordje Teodorović (Georg Ritter Theodorovich) (1830-1889) von Maligrad, General Major, Knight of the Leopold Order and Order of the Iron Crown 3rdgrade (Eiserne Krone), was decorated also with the Military Order of Merit with War decoration (Verdienst Kreuz mit Kriegsdecoration). Teodorović died in his appartment in Margaretenstrasse 10 on 19 April 1889 in the age of 59.He was buried on Vienna Central cemetery. ","Grave stone of General Teodorović in Central cemetery, Vienna.",Location of Apartment of of General Major Djordje Teodorović,16.366119235754013 48.197435631886414
