"id","name","entity_description","picture_id","picture_description","pic_url","location_name","location_description","coordinates","place_image"
"1151","Stanojević Stanoje (1874-1937) ","Stanoje Stanojević (1874-1937) was a Serbian historian, a Professor at University and a member of the Serbian Royal Academy in Belgrade. He was born in Novi Sad (today Serbia) on 13 August 1874. After attending grammar school in Novi Sad, Stanoje Stanojević studied History at the University of Vienna from 1892 to 1896. He lived in Neustiftgasse 97 (1080 Vienna). His professors at University were amongst others Vatroslav Jagić (1838-1923) and Konstantin Josef Jireček (1854-1918). Stanoje Stanojević received his titel of Dr on 16 July 1896. His dissertation is entitled ""Die Biographie Stefan Lazarević's von Konstantin dem Philosophen als Geschichtsquelle"". From 1903 until his death in 1937 Stanoje Stanojević was Professor at the University of Belgrade. His main field of research was the Serbian medieval history. During the First World War (1914-1918) he was in exile and lectured as a visiting Professor at the Sorbonne in Paris and at London University. At the Paris Peace Conference in the years 1919 and 1920 he was a member of the Serbian delegation in the historical-ethnographic section. Stanoje Stanojević died in the Viennese Sanatorium Löw on 30 July 1937.","2403","https://sr.wikipedia.org/wiki/%D0%A1%D1%82%D0%B0%D0%BD%D0%BE%D1%98%D0%B5_%D0%A1%D1%82%D0%B0%D0%BD%D0%BE%D1%98%D0%B5%D0%B2%D0%B8%D1%9B#/media/File:%D0%A1%D1%82%D0%B0%D0%BD%D0%BE%D1%98%D0%B5_%D0%A1%D1%82%D0%B0%D0%BD%D0%BE%D1%98%D0%B5%D0%B2%D0%B8%D1%9B.jpg","https://orthodoxes-wien.oeaw.ac.at/repository/pic/2403","Apartment of Stanoje Stanojević","Here lived during his studies at the University of Vienna Stanoje Stanojević (1874-1937), a Serbian historian, a Professor at University and a member of the Serbian Royal Academy in Belgrade, from 1892 to 1896.","16.3455405738205 48.205476767969998","https://orthodoxes-wien.oeaw.ac.at/repository/pic/5862"
"1158","Živković Pantelejmon (1795-1851)  ","Pantelejmon Živković (1795-1851) was a Serbian Bishop of Dalmatia, Timișoara and Budapest. After attending grammar school and finishing the studies of Theology in Sremski Karlovci (today Serbia), he studied Law in Vienna. He was Bishop of Dalmatia from 1834 to 1836. After that he was named Bishop of Budapest. Finally, in 1839 Pantelejmon Živković was appointed as Bishop of Timișoara. He was honored by the Emperor Franz Joseph I (1830-1916) with the distinction Knight Commander of the Order of Saint Stephen in 1848. He was also Privy Councillor (""Geheimrat""). Pantelejmon Živković died in Kleine Schulenstraße 850 (today Domgasse 9, 1010 Vienna) on 22 March 1851.","3813","Litography of Pantelejmon Živković (Josef Kriehuber 1839)

https://commons.wikimedia.org/wiki/File:Panteleimon_Zivkowic_Litho.JPG","https://orthodoxes-wien.oeaw.ac.at/repository/pic/3813","Apartment of Pantelejmon Živković","Here died the Serbian Bishop of Dalmatia, Timișoara and Budapest Pantelejmon Živković (1795-1851) on 22 March 1851. The original building does not exist anymore.","16.3758280780166 48.208233154897997",""
"1158","Živković Pantelejmon (1795-1851)  ","Pantelejmon Živković (1795-1851) was a Serbian Bishop of Dalmatia, Timișoara and Budapest. After attending grammar school and finishing the studies of Theology in Sremski Karlovci (today Serbia), he studied Law in Vienna. He was Bishop of Dalmatia from 1834 to 1836. After that he was named Bishop of Budapest. Finally, in 1839 Pantelejmon Živković was appointed as Bishop of Timișoara. He was honored by the Emperor Franz Joseph I (1830-1916) with the distinction Knight Commander of the Order of Saint Stephen in 1848. He was also Privy Councillor (""Geheimrat""). Pantelejmon Živković died in Kleine Schulenstraße 850 (today Domgasse 9, 1010 Vienna) on 22 March 1851.","3813","Litography of Pantelejmon Živković (Josef Kriehuber 1839)

https://commons.wikimedia.org/wiki/File:Panteleimon_Zivkowic_Litho.JPG","https://orthodoxes-wien.oeaw.ac.at/repository/pic/3813","Apartment of Pantelejmon Živković","Here died the Serbian Bishop of Dalmatia, Timișoara and Budapest Pantelejmon Živković (1795-1851) on 22 March 1851. The original building does not exist anymore.","16.3758280780166 48.208233154897997",""
"2066","Vladislav Jovan ","Jovan Vladislav was a Viennese canvas merchant, who worked in the beginning together with his uncle Gavrilo Vladislav in his company ""G. Wladislaw"". In 1851 he founded his own Company ""Wladislaw's G. Neffe"". Its address was Fleischmarkt 695 (Fleischmarkt 10, 1010 Vienna; the original building does not exist anymore). The Company was deleted from the commercial register on 25 July 1866.  Jovan Vladislav was one of the main initiators for the founding of the Serbian Orthodox Church Community of St. Sava in Vienna in 1860. On 9 December 1860 this Community was founded in his apartment, and Jovan Vladislav was its first Vice President.","","","","Store ""Wladislaw's G. Neffe""","Here was the seat of the Company ""Wladislaw's G. Neffe"". Its owner was Jovan Vladislav, a canvas merchant and one of the main initiators for the founding of the Serbian Orthodox Church Community of St. Sava in Vienna in 1860. On 9 December 1860 this Community was founded in his apartment, and Jovan Vladislav was its first Vice President. The original building does not exist anymore.","16.375629594549501 48.210760606300497",""
"5778","Ljubiša Dimitrije (1856-1900)","Dimitrije Ritter von Ljubiša (1856-1900) was the son of Stjepan Mitrov Ljubiša (1824-1878) and was born in Budva (today Montenegro) in 1856. He worked in Vienna as a civil servant. Olimpija Ljubiša was the daughter of Dimitrije Ljubiša. She was born on 30 March 1894 and was baptised in the Serbian Orthodox Church of St. Sava in Vienna on 20 May 1894. The family lived in Pazmanitengasse 14 (1020 Vienna). Dimitrije Ljubiša's other daughter called Sofija was born on 30 September 1896 and was baptised in the St. Sava Church on 22 November. His sons Mirko Milan (born on 4 August 1898) and Gustav (born on 26 August 1900) were also baptised in the St. Sava Church on 30 August 1898  and on 23 September 1900 respectively. Dimitrije Ljubiša died in Ausstellungsstraße 25 (1020 Vienna) on 3 June 1900 and was buried two days later in the Viennese Central Cemetery (Wiener Zentralfriedhof, 1110 Vienna). After his death his wife Rosalia was owner of a tobacconist in Sonnwendgasse 2 (1100 Vienna).","","","","Apartment of Stjepan Mitrov Ljubiša","Here died Stjepan Mitrov Ljubiša (1824-1878), Serbian politician and writer and Member of the Lower House of the Austrian Parliament in Vienna, on 23 November 1878.","16.356553724035599 48.204690223095199","https://orthodoxes-wien.oeaw.ac.at/repository/pic/4518"
"1073","Jovanović Zaharije (1810-1850)","Zaharije Jovanović (1810-1850), called Čiča, was one of the Serbian leaders in the war against the Hungarians in 1848/49 with the rank of Colonel. He arrived in Vienna in 1850 in order to get a pension, but he fell ill and died. Zaharije Jovanović died in the House No. 8 auf der Wieden (today Wiedner Hauptstraße 14, 1040 Vienna) on 18 November 1850 at the age of 40. He was buried two days later in the Orthodox part of the St. Marx Cemetery (1030 Vienna).","1585","Zaharije Jovanović (1810-1850), called Čiča; lithograph by Anastas Jovanović, 1851.
Muzej Grada Beograda, AJ 133.","https://orthodoxes-wien.oeaw.ac.at/repository/pic/1585","Apartment of Zaharije Jovanović","Here died Zaharije Jovanović (1810-1850), called Čiča,  Colonel of the Serbian troops, which were loyal to the Habsburg dynasty in the war against the Hungarians in 1848/49, on 18 November 1850 at the age of 40. The building does not exist anymore.","16.367234280332902 48.197185262574003",""
"280","Milenković Stefan von (1785-1863)","Stefan von Milenković (1785-1863) was a Serbian officer and nobleman, who was born in Požarevac (today Serbia). Due to his merits he was ennobled in 1849. After his retirement in 1848 Stefan von Milenković lived in Vienna, where he died on 18 March 1863 in his apartment in Alser Straße 19 (1080 Vienna) at the age of 78. After the memorial service in the Greek Orthodox Church of the Holy Trinity in Fleischmarkt 13 (1010 Vienna) he was buried on 21 March in Schmelz Cemetery (Schmelzer Friedhof). He was the father of the writer and poet Stefan von Milenković (1836-1915) and the grandfather of Benno von Milenković (1869-1946) and Max von Milenković (1866-1945).","658","https://de.wikipedia.org/wiki/Datei:Adelsdiplom_-_Millenkovich_1835_-_Wappenseite.jpg","https://orthodoxes-wien.oeaw.ac.at/repository/pic/658","Apartment of Stefan von Milenković (1785-1863)","Here died the Serbian officer and nobleman Stefan von Milenković (1785-1863) on 18 March 1863 at the age of 78.","16.353501370176701 48.214635551213803","https://orthodoxes-wien.oeaw.ac.at/repository/pic/4734"
"276","Stefanović Vilovski Angelina (1857-1879)","Angelina Stefanović Vilovski (1857-1879) was the daughter of Major Jovan Stefanović Edler von Vilovo (1821-1902). She was born in Bratislava (today Slovakia) and died at the age of 22 in her family's apartment in Burggasse 24 (1070 Vienna) on 13 October 1879. Angelina Stefanović Vilovski was buried two days later in the Orthodox part of the St. Marx Cemetery (1030 Vienna).","","","","Apartment of the Family Stefanović von Vilovo","Here died Angelina Stefanović Vilovski (1857-1879), the daughter of Major Jovan Stefanović Edler von Vilovo (1821-1902), on 13 October 1879. Jovan's son Todor lived here with his wife, and here was also his editorial office of ""Srpska Zora"". The building does not exist anymore.","16.351746283471599 48.204351803977303",""
"902","Nikolić de Rudna Teodor (1871-?)","Baron Teodor (Fedor) Nikolić de Rudna (1871-?) was the son of Baron Teodor (Fedor) Nikolić de Rudna (1836-1903). He was promoted to Legation-Attaché (""Gesandschafts-Attaché"") in May 1901. He married Melanie Eisner (1872-1942) in the Serbian Orthodox Church of St. Sava in Vienna on 6 October 1907. He was member of the Vienna Hunting Club (""Wiener Jagdklub""), in which his trophies were exhibited in 1908 and which was visited by Emperor Franz Joseph I (1830-1916). He lived in Vienna in Theresianumgasse 5 (1040 Vienna) from 1919 to 1925.","5697","https://m.facebook.com/171064516365031/photos/a.476236022514544/1308537712617700/?type=3","https://orthodoxes-wien.oeaw.ac.at/repository/pic/5697","Apartment of Baron Teodor Nikolić de Rudna (1871-?)","Here lived Baron Teodor (Fedor) Nikolić de Rudna (1871-?) together with his wife Melanie Nikolić de Rudna (né Eisner, 1872-1942) from 1919 to 1925. After that Melanie Nikolić de Rudna stayed in the same apartment until her death in 1942. The building does not exist anymore.","16.377925565466299 48.192879872359399",""
"1974","Jeftanović Petar (1832-1855) ","Petar Jeftanović (1832-1855) was a Serbian merchant who was born in Sarajevo (today Bosnia and Herzegovina). He was the owner of the Company ""P. M. Eftanovits"" for the trade with Turkish goods in grosso. He died on 26 October 1855 and was buried two days later in the Orthodox part of the St. Marx Cemetery (1030 Vienna). ","2087","Tombstone of Petar Jeftanović (1832-1855) in the St. Marx Cemetery (1030 Vienna).
Photograph by Zlatan Stojadinović (2019).","https://orthodoxes-wien.oeaw.ac.at/repository/pic/2087","Apartment and Store of Petar Jeftanović","Here lived, traded and died Petar Jeftanović (1832-1855), a Serbian merchant. (today Lichtensteg 2, Rotgasse 2, Rotenturmstraße 15). The building does not exist anymore.
","16.373993447050498 48.2102994540328",""
"1083","Utješenović Ostrožinski Ognjeslav (1817-1890)","Ognjeslav Utješenović Ostrožinski (1817-1890) was a Serbian politician and poet, who was born in Ostrožin (today Croatia) at the Military Frontier. As an educated lawyer, he worked firstly in the Croatian Parliament as associate of Ban Josip Jelačić (1801-1859). In 1856 he was appointed to ministerial secretary in Vienna and from 1862 to 1867 he worked as an advisor to the Croatian Court Chancellery. Ognjeslav Utješenović Ostrožinski held a title of Court Councillor (""Hofrat""). In his Viennese years he was very active in the social life among the Viennese Serbs. He was one of the initiators of the foundation of the Serbian Orthodox Church Community of St. Sava in 1860 as well as its second President from 1864 to 1870. Following Vuk Stefanović Karadžić's death in 1864, Ognjeslav Utješenović Ostrožinski, Jovan Subotić (1817-1886) and Franz Xaver Ritter von Miklosich (1813-1891) founded a committee, which took care for the release of Vuk's unpublished manuscripts as well as new editions of already published works and of his family. The first in a series of these works was the fifth book ""Serbian Folk Songs"", published in 1865, on the first anniversary of Vuk's death. During his stay in Vienna, Ognjeslav Utješenović Ostrožinski's son Milan (1867) and wife Jelena (1870) died. From 1875 to 1886 Ognjeslav Utješenović Ostrožinski was the governor (župan) of the Varaždin County and retired in 1886.  In 1884 the Emperor Franz Joseph I (1830-1916) decorated him with the Order of Leopold, and at the same time he was ennobled as ""Ritter von"" with the title ""Ostrožinski"". He received also the Order of Franz Josef. Ognjeslav Utješenović Ostrožinski died in Zagreb in 1890.
In Vienna he published manifold works on the subject of the history of the Military Frontier:
""Die Hauskommunionen der Südslaven: Eine Denkschrift zur Beleuchtung der volkstümlichen Acker- und Familienverfassung des serbischen und des kroatischen Volkes"" (1859)
 ""Die Militärgränze und die Verfassung: eine Studie über den Ursprung und das Wesen der Militärgränzinstitution und die Stellung derselben zur Landesverfassung"" (1861)
""Programm zur Konstituierung des österreichischen Kaiserstaates nach den Prinzipien der konstitutionellen Freiheit und der nationalen Gleichberechtigung aus dem Jahre 1848"" (1861)
""Das Donau-Adria-Bahnnetz"" (1865)
""Die Naturschätze im nördlichen Croatien"" (1879)
""Lebensgeschichte des Kardinals Georg Utiešenović genannt Martinusius: mit dessen Bildnis, Familien-Wappen u. einer Skizze der Ruinen seines Ahnenschlosses; mit Benützung der Akten des K. K. geheimen Haus- Hof- und Staats-Archivs von 1528-1553""  (1881)
He published in Vienna also his poems:
Вила Острожинска (Volume I, 1845; Volume II, 1871)
Недељко (Volume I, 1860; Volume II, 1888)
Псалми Давидови (1868)","2075","https://sr.wikipedia.org/wiki/%D0%94%D0%B0%D1%82%D0%BE%D1%82%D0%B5%D0%BA%D0%B0:Ognjeslav_Utje%C5%A1enovi%C4%87-Ostro%C5%BEinski,_pesnik.jpg","https://orthodoxes-wien.oeaw.ac.at/repository/pic/2075","Apartment of Ognjeslav Utješenović Ostrožinski","Here lived Ognjeslav Utješenović Ostrožinski (1817-1890), a Serbian politician and poet, with his family between 1865 and 1867. In this house died his son Milan on 15 December 1867, who is buried in the same grave with his mother Jelena, who died in 1870. The original building does not exist anymore.","16.3635629229248 48.212747378842103",""
"2082","Teodorović Vasa (1851-1919)","Vasa Teodorović (1851-1919) was born in Stari Sivac (today Serbia) on 24 April 1851. He was an engineer, inventor, merchant and the President of the Serbian Orthodox Church Community Council of St. Sava in Vienna from 1907 to 1913. Since 1 July 1889 he and Max Mylius had the joint Company ""Theodorović & Cie"" (Stephansplatz 7, 1010 Vienna). Vasa Teodorović was the owner of several patents. Amongst others he patented and produced, together with the industrialist Georg Roth (1834-1903), the Roth-Theodorovic pistol in 1895. It was a long-recoil, locked-breech, single or double-action semi-automatic pistol.
Vasa Teodorović married Anna Wilhelmine Hlouvitschka on 4 November 1880. They had two sons, Teodor (1893) and Milan (1887), and a daughter Olga (1888). Vasa Teodorović died in Mariahilferstraße 27 (1060 Vienna) on 15 March 1919 and was buried two days later in the Viennese Central Cemetery (Wiener Zentralfriedhof, 1110 Vienna).","2086","https://www.liveauctioneers.com/item/62400516_a-prototype-roth-theodorovic-semi-automatic-pistol","https://orthodoxes-wien.oeaw.ac.at/repository/pic/2086","Apartment of Vasa Teodorović","Here died Vasa Teodorović (1851-1919), an engineer, inventor, merchant and the President of the Serbian Orthodox Church Community Council of St. Sava in Vienna, on 15 March 1919.","16.358068585395799 48.200636532339502",""
"2082","Teodorović Vasa (1851-1919)","Vasa Teodorović (1851-1919) was born in Stari Sivac (today Serbia) on 24 April 1851. He was an engineer, inventor, merchant and the President of the Serbian Orthodox Church Community Council of St. Sava in Vienna from 1907 to 1913. Since 1 July 1889 he and Max Mylius had the joint Company ""Theodorović & Cie"" (Stephansplatz 7, 1010 Vienna). Vasa Teodorović was the owner of several patents. Amongst others he patented and produced, together with the industrialist Georg Roth (1834-1903), the Roth-Theodorovic pistol in 1895. It was a long-recoil, locked-breech, single or double-action semi-automatic pistol.
Vasa Teodorović married Anna Wilhelmine Hlouvitschka on 4 November 1880. They had two sons, Teodor (1893) and Milan (1887), and a daughter Olga (1888). Vasa Teodorović died in Mariahilferstraße 27 (1060 Vienna) on 15 March 1919 and was buried two days later in the Viennese Central Cemetery (Wiener Zentralfriedhof, 1110 Vienna).","2086","https://www.liveauctioneers.com/item/62400516_a-prototype-roth-theodorovic-semi-automatic-pistol","https://orthodoxes-wien.oeaw.ac.at/repository/pic/2086","Apartment of Vasa Teodorović","Here died Vasa Teodorović (1851-1919), an engineer, inventor, merchant and the President of the Serbian Orthodox Church Community Council of St. Sava in Vienna, on 15 March 1919.","16.358068585395799 48.200636532339502",""
